rin,eng
"Pa'la, pakatapos sa usad na dosenang lakang, pinundo adi ku narisa niyang diri man nagsusunod su igin kanya.","And then, after a dozen steps, stopped when she realized that the child wasn't following her."
Su igin nakatangad sadto bintana ku lumang baloy.,The child was looking up the windows of the old house.
"Sadto nakasaradong bintanang kapis, pala nagsilong kanya.","At those shuttered shell windowpanes, and then looked at her."
Pigkayab ni Nana Kuring ku palo-palo niya su igin.,Nana Kuring swung the palo-palo in a forward motion to the child.
Ag su igin na babayi dali-daling nagsusunod sadto gurang na babayi.,And the little girl hurried after the old woman.
"Nagluwas sira sadto pulang pigtataklang trang-kahan ku lumang baloy paiyan sadto ispaltadong tinampo, nauuna iya pa'la su igin nagsususunod.","They walked out of the old house's red rusting gate into the deserted asphalt road, with her leading and the child following."
Ku una namamati sana ku igin su init ku aldow sadto bok niya ag pigsusunod sana niya su tiil ku gurang na nabayad babayi.,For a time the child only felt the sun on her hair and followed the old woman's feet.
Anggan na sana niya na nag-aagi na iya sa raga ag mga layang dawon.,Until she saw that she was walking on soil and dead leaves.
Uda raran.,There was no path.
Uda aldow.,There was no sun.
Agko sana ragot ku mga kawoy ag ragisnis ku mga dawon.,There was only the creak-ing of the trees and the rustling of the leaves.
Bigla iyang nagpundo.,She suddenly stopped.
Pinundo man su mga tunog ag namati niya na agko matang nag-iinirib kanya.,The sounds ceased too and she felt eyes watching her.
Pigtangad ku igin su nakaukrong niyang payo 'nganing silngan su taludtod ni Nana Kuring.,The child raised her bowed head to look at Nana Kuring's back.
Diri ika makatakot.,"""Don't be afraid."
Sabi ku gurang na babayi na diri naglilili.,The old woman said without looking back.
Si Tata Ulyan sana yan.,That's just Tata Ulyan.
"Narurumruman mo iya, amigo baga iya ni Papa 'Iton mo?","Remember him, your Papa 'Iton's good friend?"
Mag-iiyan baga iya minsan sadto baloy pag miggagab-i na.,He would sometimes come to the house after dusk.
Si Papa 'Iton mo gayod minandan iyang susunuron kita.,Your Papa 'Iton probably sent him after us.
Narurumruman ku igin su gurang na lalaki na agko dakulong bayak-bayak imbes na urong na pirming agko darang minasbad.,The child remembered an old man with a big sac for a nose who would always carry a minasbad with him.
Su kawoy na sarungan kadi napapaha sadto puputlan niya sa lubid na abaka.,Its wooden scabbard belted around his hip with a hemp rope.
Ag su bagana payo sa ayam a nakaturno sadto pulo ku espada.,And what looked like a dog head carved as the wooden handle of the sword.
Sabi kanya ku pukuapuon niyang lalaki nauda kuno si Tata Ulyan sadto bukid usad na gab-i pa'la inuling agko regalo galin sa bukid.,Her grandfather told her that Tata Ulyan had wandered into the mountain one night and returned with the mountain's gift.
Naglili iya ag sadto man nanggad adi.,She looked behind her and there he was.
Usad na kulor-ragang ayam na nangitom na ku matang nakasilong kanya.,A brown dog looking at her with the blackest eyes.
Nagsilong iya utro ki Nana Kuring na naglili para daliang ngumisi kanya.,She looked back at Nana Kuring who had turned to smile briefly at her.
Bistado niya 'ding raga ag dakol iyang ising istorya arog ni pukuapuon mo.,He knows this land and knows as many stories as your grandfather.
"Naglili utro su igin na babayi, pero uda na su ayam.","The little girl looked behind her once more, but the dog was gone."
Nagbaklay na sira utro pa'la pakanganod-nganod pigtugal ni Nana Kuring su igin na babayi na upsuon su istip-in niya.,They began walking again and soon Nana Kuring asked the child to take off her step-ins.
Pa'la nag-aagi na su tiil niya sadto bukal.,Then her feet were walking into a bukal.
Usad na tuninong na sagop ku sapa.,A tranquil pool formed by a stream.
Lang agnow ku tubig kaya namuti su tiil niya.,The water was so cold and had turned her feet white.
"Paglamutaw nira sadto mababow na puro, dinara sira ku maluway na sulog paiyan sadto luyo.","Wading through its shallow end, the soft current carried them to the other side."
Kin sari pigtatago ku mga dakulong bato su duru diretsong bulos galin sadto irarom ku siwang sadto gilid ku bukid.,Where boulders hid a steady stream that ran from under a crevice in the mountain wall.
Pigtangad niya su ringring ku bukid pala narumruman niya su inistorya kanya ku pukuapuon niya.,She looked up the mountain wall and remembered a story that her grandfather told her.
"Sabi ku Papa 'Iton niya na san kuno baryo, a bukid a kagnubo ka ngamin na nilalang.","Her Papa 'Iton had said that in that barrio, the mountain was the father of every creature."
Pa'la kuno a tubig ka sapa na an amo a rugo ka bukid.,And that the water from that stream was the blood of the mountain.
Sabi niya a rugo kuno ka bukid amo a nagpapadakulo ka mga bato.,He said that the blood of the mountain made the rocks grow bigger.
Sabi niya pag a rugo mo kuno nakasalak sa rugo ka bukid mabibisto ika ka bukid pa'la reregaluwan ika.,He said that if your blood mixed with the mountain's blood then the mountain would know you and gift you.
Pero mas maray kuno na diri mabisto ag maregaluwan ka bukid.,But it is best not to be known and gifted by the mountain.
Mas maray na pabayaan sana ka usad na biyo nang malakagurang.,Best to be left alone by one so old.
Ta a mga regalo nira bukong angay para kanato.,Because its gifts are not meant for us.
Amo yan sabi ku apuon niyang lalaki.,Her grandfather had said.
Pigsisilngan niya si Nana Kuring na pigbubutang su mga bado sadto dakulong bato na aros lapnad pala pulinas na.,She watched Nana Kuring lay the clothes on a boulder that was almost flat and smooth.
"Pausad-usad, piglulubto ku gurang na babayi su mga bado.","One by one, the old woman drenched the clothes in the water."
Pigsusuway-suway niya sadto bato pa'la pigpupukpok niya ku palo-palo.,Bunched them on the boulder and pounded on them with the palo-palo.
"Usad na beses, darwang beses, tulong beses.","Once, twice, thrice."
"Lubto, pukpok, pukpok, pukpok, lubto.","Drench, pound, pound, pound, drench."
Anggan sa uda matuda ag ngamin nabiribdan nang malinig pa'la pigluru-luknong sadto planggana.,Until nothing remained and everything was wrung clean and stacked in the tin basin.
"Punok, itinurol ni Nana Kuring sadto igin su palo-palo.","Silently, Nana Kuring held the palo-palo out to the child."
Pig-uba ku igin su bado niya.,The child took off her clothes.
Nilubto sadto tubig.,Drenched them in the water.
Binutang sadto dakulong bato.,Laid them on the boulder.
"Kinuko su palo-palo, pa'la pinukpok, ag pinukpok, ag pinukpok.","Took the palo-palo and then pounded, and pounded, and pounded."
"Nakauba, pigparapamarukpukan niya 'ding malakaungot.","Naked, she kept pounding furiously."
Anggan sa nakanin-anan na ku kawoy su kulit ku palad niya.,Until the wood bit into the skin of her palm.
Diri niya narisa na nagdalugdog na sadto dakulong bato su rugo niya pa'la nagturo sadto tubig.,She didn't notice that her blood had trickled on the boulder and fell into the water.
Diri iya pinundo sa pagpukpok anggan nagkukubog-kubog na su abaga niya ag nagkabubura na.,She kept on pounding until her shoulders were shaking and she was almost sobbing.
Biniliwan niya su palo-palo ag pinugong su nganga.,She dropped the palo-palo and covered her mouth.
Papugol na kinagat su silok-sigok niya.,Biting back her sobs.
Pigtatatago su boses niya sa sadiri man sana niya.,Keeping her voice inside her.
Kinaputan ni Nana Kuring su abaga niya ag dinara iya sadto bukal kin sari iya pigrigos.,Nana Kuring took her shoulders and led her into the bukal where she bathed her.
Pa'la pinunasan su luwa ag rugo sadto nganga niya.,And then wiped the tears and blood off her mouth.
Luway-luway na piglubto ni Nana Kuring su payo ku igin sadto tubig.,Nana Kuring gently submerged the child's head underwater.
"Sadto irarom ku tubig, kin sari uda ibang tunog ag uda ibang makarurungog kanya, pigbukasan na ku igin su nganga niya 'nganing magrait ag nakatulon adi sa tubig.","Under the water, where there was no other sound and no one could hear her, the child finally opened her mouth to scream and swallowed water."
"Pa'la nagbutwa utro su igin ag binnalik iya sa tunog, punok na utro.","Then the child surfaced and returned to sound, silent once more."
Pigtapisan iya ni Nana Kuring.,Nana Kuring draped her tapis around her.
Namati ku igin na nakasulit na iya sa sadiri pero iba na.,The child felt like herself once again but different.
Su tubig na natulon maagnow sa pagmati sadto buros niya.,The water she had swallowed felt cold in her stomach.
"Pakatapos, nagbaklay na sira pauli sadto lumang baloy labing su aldow pigmamara su kulit nira.","After, they walked back to the old house with the sun drying their skins."
"Ku nag-iiratong na sira sadto trangkahan, bagana su ngamin na natuturog naggigios na.","As they neared the gate, it seemed that everyone asleep was beginning to stir."
Pig-ibanan ni Nana Kuring su igin na babayi paiyan sadto kuru-kusina.,Nana Kuring led the little girl through the dirty-kitchen.
Pa'la pinatindog iya sadto atubangan ku usad na kawoy sadto tarikuran ku lumang baloy.,And then stood her before a tree in the back of the old house.
Arani sadto alad na kawoy ag matarom na alambre na amo solar.,Near the wooden and barbed wire fence that served as the border.
Si Papa Iton niya a nagtanom ku kawoy na adto ku aldow na pinangigin iya.,Her Papa 'Iton had planted that tree on the day that she was born.
"Kin diri mo masabi kanako o kiisay man kin uno nangyari, iing-ing mo sana san kawoy.","If you can't tell me or anyone what has happened, then whisper it to the tree."
Ading kawoy na adi amo kaibanan mo sa buway.,This tree is your life companion.
Nagdadakulo adi labing nagdadakulo man ika.,It grows as you grow.
Pirmi ding mig-irungog ag mig-intindi kanimo.,It will always listen and understand you.
Sabi ni Nana Kuring pa'la binayaan niya 'ding solo.,Nana Kuring said and then left her alone.
Pigsulod ku silong ku igin si Nana Kuring pa'la pigsilngan su kawoy.,The child looked after Nana Kuring and then looked at the tree.
Na bagana nag-uulat adi.,It seemed to be waiting.
Narumruman niya su pigsabi kanya ku pukuapuon niyang lalaki manungod sa mga kawoy.,She remembered what her grandfather told her about trees.
"Na kin agko iya maraot na pangaturganan, kaipuwan niya 'ding sabiyon sa kawoy tanganing diri adi magkamatuod.","And that when she had a bad dream, she should tell a tree so that it would not come true."
Nagrapo iya pa'la nag-ing-ing.,She leaned closer and whispered.
Pa'la diri na niya narumruman su mga pigngabil niya pakatapos.,And she would no longer remember what she said after.
Minsan gusto kintana ku igin na babayi na iing-ing a mararaot na pangaturganan niya pag nagsisyesta sadto pukuapuon niyang lalaki.,The little girl would sometimes wish that she could whisper her bad dream she would have at siesta to her grandfather.
Pero gurang na 'di ag sige nang kubog-kubog.,But he was old and he shook and shook.
Sasabiyon kanya ku ngamin na gurang na babayi na diri niya adi pagdisturbuwon.,All the old women would tell her not to disturb him.
Minsan ngani magpupundo adi sa bitnga ka istorya niya ta biyong mangungubog-kubog a boses.,Sometimes he would even stop in the middle of his stories because his voice shook too much.
Ag ngamin niyang istorya bagana mga pusang ngangabilon ag tunog na sana.,And all his stories would just be broken words and sounds.
Pa'la migrapo si Nana Kuring tanganing kabiton su igin parayo sadto gilid ku batangan ku pukuapuon niya.,Then Nana Kuring would come and lead the child away from her grandfather's bedside.
"Minsan pag san kanda si Tata Ulyan pagsulnop ka aldow, miggulom adi kanya pa'la amo na 'di migtapos ka istorya para ki Papa 'Iton niya.","Sometimes when Tata Ulyan was there after dusk with them, he would smile at her and complete the stories for her Papa 'Iton."
"Minsan pag gab-i, pigkakaputan niya su batalon na kamot ka pukuapuon niyang lalaki labing a mga gurang na babayi nakatiklod.","Sometimes at night, she held her grandfather's callused hands while the old women knelt."
Ag nangangadyi ka rosaryo sadto itom na estatwa ni Inang Maria.,And prayed the rosary to a black statue of Mama Mary.
Magpupundo adi sa kubog-kubog.,He would stop shaking.
"Pa'la minsan pag uda ibang tawo, iya na a mag-iistorya ka mga istorya ka apuon niyang lalaki kanya ag sa sadiri niya.","And sometimes when no one else was around, she would be the one telling her grandfather's stories to him and to herself."
"Kaya man, kada apon pag tag-init, mag-iing-ing iya sadto kawoy pa'la malilingawan niya.","So on and on, every summer afternoon, she had whispered to the tree and she had forgotten."
"Kada apon, magpaparaulat su kawoy pa'la palilingawon iya na pirmi man sanang pariyong maraot na pangaturganan.","Every afternoon, the tree waited and made her forget that it was always the same bad dream."
Manungod sadto alimaw na iniiyan kanya na pigbabag-ot a kamot saka parong maanggo pag natuturog iya.,About the same monster that would come for her with sweating hands and reeking of musk while she was asleep.
"Kada tag-init, itatagak iya ni mama niya sadto lumang baloy 'nganing sadto mag-istar kaiba si Papa 'Iton niya.","Every summer, her mother would leave her in that old house to live with her Papa 'Iton."
Payaba ku igin na babayi su pukuapuon niyang lalaki pati su mga istorya na ipagpaparaistorya kanya.,The little girl loved her grandfather and the stories he would tell her.
"Pero bago iya magluog sadto pulang pigtataklang trangkahan, mikimairak iya ki mama niya na diri iya ipagtagak.","But just before she would enter the red rusting gate, she would beg her mother not to leave her."
Biyo iyang makakatakot na maglabos sadto trangkahan ag magluluog sadto lumang baloy na adto na diri niya isi kin ngata.,She would dread walking through the gate and entering that old house without knowing why.
Diri ika pakaigin-iginon pa'la dungas.,Do not be so childish and silly.
Sasaritaan iya ni mama niya.,Her mother would chide her.
Payaba ika saka diri ika sadi mauuno ta babalikan ko man ika tulos.,You are loved and safe here and I will come back for you soon.
"Ag kada pagtapos ka tag-init, susungkaton na iya ni mama niya pa'la migbalik na sira sadto syudad.","And at the end of each summer, her mother would come for her and they would return to the city."
Uda basang nakamangno na 'lakapunok na ku igin na babayi.,No one had noticed that the girl had become so quiet.
"Na nagin iba na iya, kada paglabos ka tag-init sadto lumang baloy na adto.","Had become something else, as each summer passed in that old house."
"Sa pagtapos ku usad na tag-init paglabos sa unom na taon, pinundo nang magparakubog-kubog si Papa 'Iton niya.","At the end of one summer six years later, her Papa 'Iton had finally stopped shaking."
Pigdara iya ni Nana Kuring sadto gilid ku batangan kadi.,Nana Kuring took her to his bedside.
"Pigsilngan niya su di na nag-iiwag kading awak, pa'la nag-ukrong parani sadto talinga kadi.","She looked at his still body, then crouched towards his ear."
Ag pig-ing-ing su maraot niyang pangaturganan.,And whispered her bad dream.
liba mo na sana po ako kanimo.,Please take me with you.
Naglaom iya na narungog iya kadi ag migsimbag kanya.,She had hoped that he had heard and would answer her.
"Pero su mga mata kadi nakabuklat sana, nakatiurong sadto kisame, bago 'di tawban kana kamot ni Nana Kuring ku puting isapoy.","But his eyes remained blank, staring at the ceiling, just before Nana Kuring's hands covered them with the white blanket."
"Pa'la nagluwas iya, nagtindog sadto atubangan ku kawoy ag pig-ing-ing su pagraan ku pukuapuon niyang lalaki.","Then she went outside, stood before the tree and whispered to it her grandfather's death."
Nag-ing-ing iya pero diri nalingaw ku apon na adto kin ngata ta agko mga luwa na nanananggilid sadto pisngi niya.,She whispered but did not forget that afternoon why there were tears sliding down her cheek.
"Ku miggagab-i na, nag-abot si Tata Ulyan 'nganing magtaong onra sadto apuon niya.","At dusk, Tata Ulyan came to pay his last respects to her grandfather."
"Paiyan sadto kuru-kusina, nabayad kadi su tisong na awak ku igin na babayi na nakatindog arani sadto alad.","As he came to the dirty-kitchen, he saw the girl's still figure standing near the fence."
Nagrapo adi sadto tisong na pigura niya 'nganing iiba iya pabalik sadto luog ku baloy.,He walked towards her to take her back into the house.
Ag sabiyan na mig-abot na si mama niya kinaugmaan.,And to tell her that her mother would be arriving the next day.
Naisipan kadi na mag-istorya kanya manungod ku lugar na iiyanan ku apuon niya.,He thought of telling her a story about the place where her grandfather was going.
Pero agko iba sadto pakatindog niya.,But there was something about the way she stood.
Ag su anino na nabibilog kadtong nag-iingagdan na liwanag na nagpapaspas ku pag-agi kadi paiyan kanya.,And the shadows that were cast in the dying light that made him walk faster towards her.
"Ku arani na 'di, narungog kading nag-iing-ing iya.","As he came nearer, he heard her whispering."
Tabi kuonon mo na 'di kanako.,Please take it away from me.
Ngata ta abo mong magrungog kanako?,Why won't you listen to me?
Pa'la nabayad kadi su kawoy na pig-iing-ingan niya.,Then he saw the tree she was whispering to.
"Dinalagan na 'di kanya, pig-uulbot sadto saru-ngan na nakasukbit su minasbad niya, pigwasiwas sadto kawoy.","He ran towards her, unsheathing the minasbad from his hip, swung it towards the tree."
Agko rait.,There was a scream.
Namati ku igin su butong sadto puso niya ku unang tigbas ku minasbad.,The child felt a wrench in her heart at the minasbad's first bite.
"Gusto man niyang magrait, pero napasilong sana iya labing su mga siyak ni Tata Ulyan.","She wanted to scream, too, but she could only watch while Tata Ulyan's shouts."
Ag wasiwas ku minasbad nagraranog sadto kangitngitan.,And the minasbad's swings resounded in the dark.
Nakarungog iya sa mas dakol pang tiil na nagdadalagan paiyan kanda.,She heard more feet running towards them.
Nagrurugo su kawoy.,The tree was bleeding.
Buko ining pulot.,It was not sap.
Nagsilong sana 'ya.,She only watched.
Among tuod iyang munyika sa Intsik na nakaasag sadto salog ku sala.,She almost looked like a China doll sprawled on the sala floor.
A bulaw na kurong niyang bok.,With her curly brown hair.
Namula nang ngabil.,Full red lips.
Losang kutis na nakuko niya sadto kag-igin niyang babayi.,Porcelain complexion that she got from her mother.
Ag su pangas na angog.,And the high forehead.
Pangong urong.,Button nose.
Saka singkit na bulaw na mata na nakuko niya sadto kag-igin niyang lalaki.,And the slanting brown eyes that she got from her father.
Solo sana iya.,She was alone.
Nag-aagung-ong sa uda man malmag na tono.,Humming a senseless tune under her breath.
Labing nakaukrong sadto darwang libro manungod sa mga engkanto saka su nagrunggal nang mga ngayamnan.,As she bent over two fairy tale books and her scattered toys.
Nagdodrowing sadto kopon ban gamit su itom na krayola.,Drawing on a coupon bond with a black crayon.
Pinnundo su kamot niya ku nakarungog iya sa silok-sigok sadto kusina pa'la pinnundo man iyang mag-agung-ong.,"Her hand paused as she heard a sob from the kitchen, and she stopped humming."
Bagana amo sana adto su tunog na narungog niya sadto baloy nira na nangungumon-ngumon na.,It seemed to be the only sound she had heard in their house for a while now.
Uda na mga 'lang ranog na mga boses o namumuyang urok-utok.,There were no more raised voices or happy squeals of laughter.
Amo sana adto tunog na marurungog sadto baloy nira nguwan na aldow.,It was the only sound that could be heard in their house this day.
Pagkatapos sa pirang oras na iring-ingan na agko pa pagtapi-tapi sadto payo niya.,After hours of hushed voices and murmurs that came with pats on her head.
Nakarungog utro iya sa pugol na silok-sigok ag inigot su kapot niya sadto krayola.,She heard another muffled sob and her hand held the crayon tighter.
Pagkatapos sa kwarenta diyas sadto na niya namating uda na si papa niya.,After forty days she finally felt her daddy's absence.
"Kadtong momentong adto, intero na niyang naintindiyan kin uno nangyari.","At that moment, she completely understood what had happened."
Por medyo ta pinnundo na su puso ni papa niya sa kuradkutad diri na 'di mig-balik.,That because her daddy's heart had stopped beating he would never come back.
Nagngayo-ngayo iya.,She wished.
Nagngayo-ngayo iya na a mga bagay-bagay magin pariyo sana ku dati.,She wished that things would be the same way they were before.
Na a mga bagay-bagay magin iba man kin uno na sira nguwan.,That things would be different from the way they were now.
Nagngayo-ngayo iyang si papa niya isadi pa.,She wished that her daddy was still here.
Nakamati iya sa inda mang malain.,She felt strangely ill.
Pigkukurukalintura saka nakatatakot.,Feverish and afraid.
Gusto niyang magbura saka makaibanan si papa niya.,She wanted to cry and to have her daddy.
Magkaagko kaibanan.,To have someone.
Gakuson iya.,Hug her.
"Binuksan niya su wala niyang kamot, pinabayaan maulog su krayola sadto namiminlod niyang palad.","She opened her left hand, letting the black crayon slip from her tingling palm."
Diri niya nabayad kin pauno su kurit sa buway sadto palad niya biglang naputol.,She did not see how the life line in her palm had suddenly broken.
Pa'la pinuon naman utro sa malakasadit na linya.,And began once more on a faint line.
"Tinnindog iya, pinalpag su kulor rosas niyang bado, pa'la nag-agi iya paiyan sadto pasilyo.","She stood up, brushed her pink dress into place, and walked towards the hallway."
Linnakang ako paluwas sadto anino niya tapos innukrong 'nganing baydon kin uno su drinowing niya sadto kopon ban.,I stepped out of her shadow and bent to look at what she drew on the coupon bond.
Sinnirang su kag-igin niyang babayi sadto pirtan ku kusina pa'la nabayad niya ako.,Her mother peered through the kitchen door and saw me.
Nag-agi iya paiyan kanako pa'la pinirang sadto abaga ko 'nganing mabayad su drowing.,She walked towards me and looked over my shoulder to look at the drawing.
Nagsingot iya pa'la pigtapi-tapi su payo ko.,She sniffled and patted my head.
Linili ko su payo ko 'nganing babaydon ko iya saka ginnulum.,I turned my head to look at her and smiled.
"Su kag-igin niyang babayi naggulom sa primerong beses, pero 'da buway, pa'la nag-agi man nanggad paiyan sadto pasilyo.","Her mother smiled for the first time, but wanly, and then walked towards the hallway, too."
Bukong sadto pa sana ika sala?,Weren't you just in the sala?
"su kag-igin niyang babayi nag-unga ku nabayad niya su igin niyang babayi sadto pasilyo na nag-aagi paiyan sadto kwarto nira ni ermana niyang mas gurang kanya, si Ate Lynn.","Her mother asked as she saw her daughter in the hallway walking towards the bedroom she shared with her older sister, her Ate Lynn."
Napaaplos su kamot sadto angog ku kag-igin niyang babayi sa kalibungan ag kapagalan labing nagsingot iya utro.,Her mother placed a hand on her forehead in confusion and exhaustion as she sniffled once more.
"Nabayad ko ika sadto, nagdodrowing.","I saw you there, drawing."
Naglilili iya 'nganing silngan si mama niya.,She turned around to look at her mother.
"Diri, Mommy, sadi ako.","No, Mommy, I'm here."
"Ngurob-ngurob niya, pa'la su sadit, mamundo niyang awak tinalikod 'nganing mag-agi parayo.","She mumbled, and her small, sad figure turned around to walk away."
"Amo, doble ko, sadi ako.","Yes, I echoed, I'm here."
Sinilngan ko su drowing niyang nabayaan na buko pang tapos.,I looked at the drawing that she had left unfinished.
Drowing adto ku pamilya nira saka baloy nira.,It was a drawing of their family and their house.
Su usad sa mga lalawgon na agko putol-kalalawgon niya.,One of the faces with broken lines almost looked like her.
Pero ako adto su putol na linya aros pigkukurit niya.,But she was drawing me.
Su buway nira diri man nagin maray pagkagraan ku papa niya.,Their lives had not gotten better after her daddy died.
Su kag-igin niyang babayi pirming mamundo saka nadipisilan bayaran su mga kautangan galin sadto negosyong nabayaan ku papa niya.,Her mother was always sad and struggled to pay off the debts from the business her daddy left.
"Tanganing mabuway pa nanggad su pamilya, 'nganing matipon sana sira pirmi.","To keep their family surviving, to keep them all together."
Su Ate Lynn niya pirming nakaalalay sadto kag-igin nira.,Her Ate Lynn was always there for their mother.
Alagad bagana mas gurang ag mas pagal silngan kisa edadon niya labing pigtatabangan kadi su kag-igin nirang atamanon su pamilya nira.,And had grown old and tired beyond her years as she helped their mother take care of their family.
Mantang su ngod nirang gurang na lalaki linuwas sadto bukid anggan sa magin estranghero sa buway nira.,While her older brother had gone off to the mountains and became a guest in their lives.
Kin minsan makakaresibi sira sa surat galin sadi.,Sometimes they would receive letters from him.
Agko usad na a sabi nangagom na iya sadto bukid.,One saying that he had married a girl in the mountain.
Pa'la agko man usad na nangumon-ngumon na a sabi kanda su agom ag igin niya mga nagraan.,And another much later telling them that his wife and child had died
"Ag sa paglipas ku mga taon, iya nagin marawraw, susupgon, saka abungera.","And through the years, she grew up restless, withdrawn, and quarrelsome."
"Pirmi iyang mag-uuno-uno, pa'la magpaparakagrat anggan sa mapaas kin a mga bagay-bagay bukong pabor kanya.","She would often throw tantrums, and scream until she was hoarse when things would not go her way."
Kin minsan ako maggugulom para kanya.,Sometimes I would smile on behalf of her.
Tanganing mamuya su kag-igin niyang babayi ag su Ate Lynn niya kawasang diri basang iya maggulom.,To make her mother and her Ate Lynn happy because she never did.
"Ku marisa man nanggad niyang kapambihira nirang maggulom kanya, nagpuon iyang mag-isip kin uno na nangyari kanya labing naggugurang iya.","When she finally noticed that they rarely smiled at her, she began thinking of what she had become as she got older."
Bagana uda nabubuot kanya.,It seemed that no one liked her.
Nginayo-ngayo iyang kintana iba man iya.,She wished she were different.
"Nagpuon iyang magsilong sa luog ka sadiri niya pala sa luwas ku sadiri niya, sa luwas, sa ibang tawo.","She began looking inside herself and then outside herself, outside, at other people."
Tapos usad na aldow nagdara iya sa kagrado niya pauli kanda.,Then one day she took a classmate home with her.
Sabi niya su kag-igin na lalaki ku kagrado niya paglalamasahon adi.,She said that her classmate's father was beating her.
Gusto niyang su mama niya ibanan iya sadto Barangay Hall tanganing isumbong adto.,She wanted her mother to come with her to the Barangay Hall to report it.
Sabi niya sala adto kaya agko dapat gibuwon.,She said that it was wrong and that something should be done.
Dakol iyang nabayad ag naturakan na salang mga bagay-bagay sa luwas.,She saw and found more and more wrong things outside.
Nag-iba iya sa mga rally.,She joined rallies.
Isisilyak a makauungot ag kaapiyan.,Screaming outrage and injustice.
Nagkakagrat 'nganing ma-rungog iya ka mga tawo.,Screaming so people would hear.
